
Name:jsonparse, Version: 1.3.1, License: MIT, URL: https://github.com/creationix/jsonparse#readme
Name:through, Version: 2.3.8, License: MIT, URL: https://github.com/dominictarr/through
Name:whatwg-url, Version: 11.0.0, License: MIT, URL: https://github.com/jsdom/whatwg-url#readme
Name:axios, Version: 0.27.2, License: MIT, URL: https://axios-http.com
Name:npm-api, Version: 1.0.1, License: MIT, URL: https://github.com/doowb/npm-api
Name:dotenv, Version: 16.0.2, License: BSD-2-Clause, URL: https://github.com/motdotla/dotenv#readme
Name:is-buffer, Version: 2.0.5, License: MIT, URL: https://github.com/feross/is-buffer#readme
Name:moment, Version: 2.29.4, License: MIT, URL: https://momentjs.com
Name:lazy-cache, Version: 2.0.2, License: MIT, URL: https://github.com/jonschlinkert/lazy-cache
Name:JSONStream, Version: 1.3.5, License: (MIT OR Apache-2.0), URL: http://github.com/dominictarr/JSONStream
Name:to-object-path, Version: 0.3.0, License: MIT, URL: https://github.com/jonschlinkert/to-object-path
Name:set-getter, Version: 0.1.1, License: MIT, URL: https://github.com/doowb/set-getter
Name:isobject, Version: 4.0.0, License: MIT, URL: https://github.com/jonschlinkert/isobject
Name:tr46, Version: 3.0.0, License: MIT, URL: https://github.com/jsdom/tr46#readme
Name:webidl-conversions, Version: 7.0.0, License: BSD-2-Clause, URL: https://github.com/jsdom/webidl-conversions#readme
Name:shallow-clone, Version: 3.0.1, License: MIT, URL: https://github.com/jonschlinkert/shallow-clone
Name:is-plain-object, Version: 5.0.0, License: MIT, URL: https://github.com/jonschlinkert/is-plain-object
Name:kind-of, Version: 6.0.3, License: MIT, URL: https://github.com/jonschlinkert/kind-of
Name:follow-redirects, Version: 1.15.1, License: MIT, URL: https://github.com/follow-redirects/follow-redirects
Name:clone-deep, Version: 4.0.1, License: MIT, URL: https://github.com/jonschlinkert/clone-deep
Name:download-stats, Version: 0.3.4, License: MIT, URL: https://github.com/doowb/download-stats
Name:paged-request, Version: 2.0.2, License: MIT, URL: https://github.com/jonschlinkert/paged-request
Name:node-fetch, Version: 3.2.10, License: MIT, URL: https://github.com/node-fetch/node-fetch
